,MREQ_Number,FFID,Date_and_Time_of_Request,Section,Order_Type,Item_Category,Item_Description,Quantity_Required,Unit,Unit_Price,Total_Cost,Category,Date_Required,Delivery_Location,Location_WBS,Activity_WBS,Current_Stage,Operational_Approval,Commercial_Approval,Buyer,Days_To_Delivery,Price_Unit_Lower_Bound_2SD,Price_Unit_Upper_Bound_2SD,Unit_Price_Annomaly
16,MREQ-21782-001025,21782,2019-08-05,Core,Material,Not on List,Not on List,4,Packs,36.0,144.0,Miscellaneous,2019-08-14,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound (Core),WAOC - Working Areas overhead Costs,115 - Medical / 1st Aid,Stores - Closed,Yes - Approve,Yes - Approve,REQ - Buyers,9.0,0.0,138.17984199523926,0
17,MREQ-21782-001025,21782,2019-08-05,Core,Material,Not on List,Not on List,35,Packs,118.75,4156.0,Miscellaneous,2019-08-14,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound (Core),WAOC - Working Areas overhead Costs,115 - Medical / 1st Aid,Stores - Closed,Yes - Approve,Yes - Approve,REQ - Buyers,9.0,0.0,138.17984199523926,0
20,MREQ-20693-001025,20693,2019-07-12,Core,Material,Not on List,Not on List,1,Each,115668.7,115668.7,Miscellaneous,2019-07-12,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound (Core),PRLM - Preliminaries,104 - Site Transport,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Buyers,0.0,0.0,19779.141357421875,1
21,MREQ-5559-00362,5559,2018-08-23,Section 4,Material,Not on List,Not on List,40,Each,42.1,1684.0,Plastic Drainage,2018-08-30,RVP 401A - 1339583 -Swavesey South Compound A14 J28 Westbound,SC4A - Roadworks - Swavesey to Robins Lane,501 - Drains,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,7.0,0.0,389.84692001342773,0
28,MREQ-5559-00362,5559,2018-08-23,Section 4,Material,Not on List,Not on List,26,Each,29.25,760.5,Plastic Drainage,2018-08-30,RVP 401A - 1339583 -Swavesey South Compound A14 J28 Westbound,SC4A - Roadworks - Swavesey to Robins Lane,501 - Drains,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,7.0,0.0,389.84692001342773,0
35,MREQ-21339-001025,21339,2019-07-25,Section 5,Material,Bagged,Building Sand Bulk Bag (938155),10,Each,33.5,335.0,Builders Merchants (General),2019-08-02,"1358003 - Main Compound, Gate 1 - 1344810 - Cambridge Rd, Milton, Cambridge, CB24 6AZ",SEC5 - Roadworks,"1101 - Kerbs, Channels and Edgings",Buyer - Closed,Yes - Approve,Yes - Approve,Req - S5 Buyers,8.0,32.0869679749012,33.86902567744255,0
36,MREQ-21339-001025,21339,2019-07-25,Section 5,Material,Bagged,OP Cement Multicem Plastic Bag 25kg (210768),40,Each,2.97,118.8,Builders Merchants (General),2019-08-02,"1358003 - Main Compound, Gate 1 - 1344810 - Cambridge Rd, Milton, Cambridge, CB24 6AZ",SEC5 - Roadworks,"1101 - Kerbs, Channels and Edgings",Buyer - Closed,Yes - Approve,Yes - Approve,Req - S5 Buyers,8.0,1.4027065634727478,6.333294451236725,0
38,MREQ-21774-001025,21774,2019-08-05,Section 2,Material,Kerbs,Concrete Kerbs 125x255 - 150x125 Sply - BN Drop L/H (898584),5,Each,11.94,59.7,"Concrete Hard Landscaping (Kerbs, Slabs)",2019-08-07,"Gate N/B1 - 1339610 - Access to Processing Plant & Precast Yard, A1 Northbound",SC2B - Roadworks - A14,"1101 - Kerbs, Channels and Edgings",Buyer - Closed,Yes - Approve,Yes - Approve,Req - S2 Buyers,2.0,8.637879729270935,14.44575560092926,0
39,MREQ-21774-001025,21774,2019-08-05,Section 2,Material,Kerbs,Concrete Kerbs 125x255 - 150x125 Sply - BN Drop R/H (899183),5,Each,11.94,59.7,"Concrete Hard Landscaping (Kerbs, Slabs)",2019-08-07,"Gate N/B1 - 1339610 - Access to Processing Plant & Precast Yard, A1 Northbound",SC2B - Roadworks - A14,"1101 - Kerbs, Channels and Edgings",Buyer - Closed,Yes - Approve,Yes - Approve,Req - S2 Buyers,2.0,6.656086325645447,14.368201851844788,0
43,MREQ-21860-001025,21860,2019-08-06,Section 3,Material,Aggregate,Type 1,7500,Tonnes,21.65,162375.0,Aggregate,2019-08-06,Gate C - 1339697 - Access to BN06-07-08-09 Via Logistics Yard,SC3B - Roadworks,701 - Sub-base,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 3 Buyers,0.0,18.594700872898102,24.475752770900726,0
44,MREQ-21334-001025,21334,2019-07-25,Section 3,Material,Not on List,Not on List,55,Meters,10.9,599.5,Miscellaneous,2019-07-29,Gate D - 1339643 - BN10 Via Main Compound Entrance,SC3A - Roadworks,502 - Chambers & Gullies,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 3 Buyers,4.0,0.0,713.8753967285156,0
45,MREQ-21334-001025,21334,2019-07-25,Section 3,Material,Not on List,Not on List,95,Each,2.16,205.2,Fixings and Fasteners,2019-07-29,Gate D - 1339643 - BN10 Via Main Compound Entrance,SC3A - Roadworks,502 - Chambers & Gullies,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 3 Buyers,4.0,0.0,686.6337280273438,0
48,MREQ-21823-001025,21823,2019-08-06,Section 5,Material,Not on List,Not on List,1,Meters2,2471.04,2471.04,Miscellaneous,2019-08-08,"1358003 - Main Compound, Gate 1 - 1344810 - Cambridge Rd, Milton, Cambridge, CB24 6AZ",SEC5 - Roadworks,"1101 - Kerbs, Channels and Edgings",Buyer - Closed,Yes - Approve,Yes - Approve,Req - S5 Buyers,2.0,0.0,12993.83544921875,0
53,MREQ-21768-001025,21768,2019-08-05,Section 4,Material,Not on List,Not on List,1,Each,200.28,200.28,Miscellaneous,2019-08-07,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound,PLM4 - Site Preliminaries,152 - Attendant / General Plant,Stores - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,2.0,0.0,19779.141357421875,0
56,MREQ-5137-0058,5137,2018-08-15,Section 3,Material,Plastic Drainage,Not on List,28,Each,39.7,1111.6,Plastic Drainage,2018-08-28,Gate C - 1339698 - BN07 (Offord Rd) via Logistics Yard Access,SC3A - Roadworks,501 - Drains,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 3 Buyers,13.0,0.0,389.84692001342773,0
57,MREQ-5570-00392,5570,2018-08-23,Section 4,Material,Not on List,Not on List,100,Each,0.94,94.0,Concrete Accessories,2018-08-29,RVP 401A - 1339583 -Swavesey South Compound A14 J28 Westbound,SC4A - Roadworks - Swavesey to Robins Lane,503 - Headwalls and Outfall Works,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,6.0,0.0,8232.100769042969,0
63,MREQ-5570-00392,5570,2018-08-23,Section 4,Material,Not on List,Not on List,100,Each,1.08,108.0,Concrete Accessories,2018-08-29,RVP 401A - 1339583 -Swavesey South Compound A14 J28 Westbound,SC4A - Roadworks - Swavesey to Robins Lane,503 - Headwalls and Outfall Works,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,6.0,0.0,8232.100769042969,0
64,MREQ-21879-001025,21879,2019-08-06,Section 3,Material,Not on List,Not on List,15,Each,718.0,10770.0,Miscellaneous,2019-08-19,Gate D - 1339643 - BN10 Via Main Compound Entrance,GN3A - Gantry structures,1804 - Portal Gantries,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 3 Buyers,13.0,0.0,19779.141357421875,0
65,MREQ-21879-001025,21879,2019-08-06,Section 3,Material,Not on List,Not on List,6,Each,951.7,5710.2,Miscellaneous,2019-08-19,Gate D - 1339643 - BN10 Via Main Compound Entrance,GN3B - Gantry structures,1804 - Portal Gantries,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 3 Buyers,13.0,0.0,19779.141357421875,0
66,MREQ-21949-001025,21949,2019-08-07,Section 5,Material,Not on List,Not on List,4,Each,39.65,158.6,Plastic Drainage,2019-08-09,"1358003 - Main Compound, Gate 1 - 1344810 - Cambridge Rd, Milton, Cambridge, CB24 6AZ",SEC5 - Roadworks,504 - Drainage and Service Ducts in Structures,Buyer - Closed,Yes - Approve,Yes - Approve,Req - S5 Buyers,2.0,0.0,389.84692001342773,0
73,MREQ-5578-00396,5578,2018-08-23,Section 4,Material,Not on List,Not on List,20,Roll,110.27,2205.4,Geotextiles,2018-09-07,RVP 427 - Girton - Accessed through A14 W/B towards A428 (on slip road),BN25 - Girton Interchange Bridge A,2302 - Sealing of gaps,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,15.0,0.0,1307.4540710449219,0
74,MREQ-21977-001025,21977,2019-08-08,Section 2,Material,Not on List,Not on List,1,Each,3310.75,3311.0,Miscellaneous,2019-08-08,Main Compound - 1339608 - Buckden Rd PE19 5UH Brampton,PLM2 - Site Preliminaries,104 - Site Transport,Stores - Closed,Yes - Approve,Yes - Approve,Req - S2 Buyers,0.0,0.0,19779.141357421875,0
76,MREQ-13758-001025,13758,2019-03-11,Core,Material,Not on List,Not on List,1,Each,3061.08,3061.08,Professional Services,2019-03-11,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound (Core),WAOC - Working Areas overhead Costs,123 - Venue / Meeting Costs (Hotel Conf etc),Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Buyers,0.0,0.0,18912.62744140625,0
78,MREQ-21935-001025,21935,2019-08-07,Section 5,Material,Not on List,Not on List,1,Meters2,4778.45,4778.45,Miscellaneous,2019-08-12,"1358003 - Main Compound, Gate 1 - 1344810 - Cambridge Rd, Milton, Cambridge, CB24 6AZ",BE25 - Impington Guided Busway Bridge Modifications,1701 - Insitu Concrete,Buyer - Closed,Yes - Approve,Yes - Approve,Req - S5 Buyers,5.0,0.0,12993.83544921875,0
80,MREQ-5613-00416,5613,2018-08-24,Section 4,Material,Not on List,Not on List,6,Each ,3.35,20.1,Builders Merchants (General),2018-09-07,RVP 409 - 1339625 - Bar Hill A14 Jcn 29 Westbound (B1050),CL4B - Structures (Culverts) 4B,1802 - Miscellaneous Metalwork,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,14.0,0.0,209.1503677368164,0
83,MREQ-5613-00416,5613,2018-08-24,Section 4,Material,Not on List,Not on List,20,Each ,4.5,90.0,Builders Merchants (General),2018-09-07,RVP 409 - 1339625 - Bar Hill A14 Jcn 29 Westbound (B1050),CL4B - Structures (Culverts) 4B,1802 - Miscellaneous Metalwork,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,14.0,0.0,209.1503677368164,0
84,MREQ-5613-00416,5613,2018-08-24,Section 4,Material,Not on List,Not on List,20,Each,5.6,112.0,Builders Merchants (General),2018-09-07,RVP 409 - 1339625 - Bar Hill A14 Jcn 29 Westbound (B1050),CL4B - Structures (Culverts) 4B,1802 - Miscellaneous Metalwork,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,14.0,0.0,978.6569290161133,0
85,MREQ-5613-00416,5613,2018-08-24,Section 4,Material,Not on List,Not on List,20,Each,3.91,78.2,Builders Merchants (General),2018-09-07,RVP 409 - 1339625 - Bar Hill A14 Jcn 29 Westbound (B1050),CL4B - Structures (Culverts) 4B,1802 - Miscellaneous Metalwork,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,14.0,0.0,978.6569290161133,0
90,MREQ-5613-00416,5613,2018-08-24,Section 4,Material,Not on List,Not on List,22,Each ,22.62,497.64,Builders Merchants (General),2018-09-07,RVP 409 - 1339625 - Bar Hill A14 Jcn 29 Westbound (B1050),CL4B - Structures (Culverts) 4B,1802 - Miscellaneous Metalwork,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,14.0,0.0,209.1503677368164,0
92,MREQ-5613-00416,5613,2018-08-24,Section 4,Material,Not on List,Not on List,1,Each ,325.5,325.5,Builders Merchants (General),2018-09-07,RVP 409 - 1339625 - Bar Hill A14 Jcn 29 Westbound (B1050),CL4B - Structures (Culverts) 4B,1802 - Miscellaneous Metalwork,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,14.0,0.0,209.1503677368164,1
96,MREQ-21914-001025,21914,2019-08-07,Section 4,Material,"PPE, Small Tools and Consumables",Not on List,30,Each,21.3,639.0,Ductile Drainage,2019-08-08,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound,PLM4 - Site Preliminaries,102 - Compound running costs,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,1.0,0.0,2368.36669921875,0
97,MREQ-22052-001025,22052,2019-08-09,Section 3,Material,Twinwall,Polypipe 300mm Ridgidrain Bend 90deg (878086),32,Each,52.76,1688.32,Plastic Drainage,2019-08-12,Gate C - 1339697 - Access to BN06-07-08-09 Via Logistics Yard,SC3B - Roadworks,1102 - Combined Drainage and Kerb Units,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 3 Buyers,3.0,47.50924515724182,53.679643392562866,0
98,MREQ-22052-001025,22052,2019-08-09,Section 3,Material,Concrete Drainage,Not on List,1,Each,153.46,153.46,Concrete Drainage,2019-08-12,Gate C - 1339697 - Access to BN06-07-08-09 Via Logistics Yard,SC3B - Roadworks,502 - Chambers & Gullies,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 3 Buyers,3.0,0.0,1479.5375366210938,0
99,MREQ-22052-001025,22052,2019-08-09,Section 3,Material,Aggregate,Type 1,400,Tonnes,21.65,8660.0,Aggregate,2019-08-12,"Gate J - BN12 & BN13, B1040 St Ives Rd, Off A14 Jcn 26 Westbound",SC3B - Roadworks,701 - Sub-base,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 3 Buyers,3.0,18.594700872898102,24.475752770900726,0
102,MREQ-5137-0058,5137,2018-08-15,Section 3,Material,Plastic Drainage,Not on List,5,Each,39.7,198.5,Plastic Drainage,2018-08-28,Gate C - 1339698 - BN07 (Offord Rd) via Logistics Yard Access,SC3A - Roadworks,501 - Drains,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 3 Buyers,13.0,0.0,389.84692001342773,0
103,MREQ-5681-00445,5681,2018-08-28,Section 4,Material,Not on List,Not on List,18.147,Ton,538.0,9763.09,Rebar and Mesh,2018-09-04,RVP 405/407 - 1339623 - Robin's Lane A14 J28A Westbound,BN19 - Robins Lane Bridge,1704 - Reinforcement for Structures,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,7.0,538.0,538.0,0
104,MREQ-21937-001025,21937,2019-08-07,Section 5,Material,Geotextile,Tensar TX160 4m x 75m (150563),10,Each,535.0,5350.0,Geotextiles,2019-08-09,"1358003 - Main Compound, Gate 1 - 1344810 - Cambridge Rd, Milton, Cambridge, CB24 6AZ",PLM5 - Site Preliminaries,153a - Temporary Works - Site Infrastructure,Buyer - Closed,Yes - Approve,Yes - Approve,Req - S5 Buyers,2.0,535.0,535.0,0
105,MREQ-21937-001025,21937,2019-08-07,Section 5,Material,Geotextile,Terram 1000 4.5m x 100m 1-15 rolls (820795),5,Each,122.72,613.6,Geotextiles,2019-08-09,"1358003 - Main Compound, Gate 1 - 1344810 - Cambridge Rd, Milton, Cambridge, CB24 6AZ",PLM5 - Site Preliminaries,153a - Temporary Works - Site Infrastructure,Buyer - Closed,Yes - Approve,Yes - Approve,Req - S5 Buyers,2.0,112.33407580852509,120.40036022663116,1
107,MREQ-21778-001025,21778,2019-08-05,Section 4,Material,Not on List,Not on List,29,Roll,177.0,5133.0,Blocks and Bricks,2019-08-16,RVP 409 - 1339625 - Bar Hill A14 Jcn 29 Westbound (B1050),BN22 - Structure BN22,1702 - Precast Concrete,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,11.0,51.116275787353516,249.40679550170898,0
109,MREQ-21778-001025,21778,2019-08-05,Section 4,Material,Not on List,Not on List,37,Roll,131.0,4847.0,Blocks and Bricks,2019-08-16,RVP 409 - 1339625 - Bar Hill A14 Jcn 29 Westbound (B1050),BN22 - Structure BN22,1702 - Precast Concrete,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,11.0,51.116275787353516,249.40679550170898,0
110,MREQ-21778-001025,21778,2019-08-05,Section 4,Material,Not on List,Not on List,48,Roll,188.0,9024.0,Blocks and Bricks,2019-08-16,RVP 409 - 1339625 - Bar Hill A14 Jcn 29 Westbound (B1050),BN22 - Structure BN22,1702 - Precast Concrete,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,11.0,51.116275787353516,249.40679550170898,0
111,MREQ-21778-001025,21778,2019-08-05,Section 4,Material,Not on List,Not on List,56,Roll,215.0,12040.0,Blocks and Bricks,2019-08-16,RVP 409 - 1339625 - Bar Hill A14 Jcn 29 Westbound (B1050),BN22 - Structure BN22,1702 - Precast Concrete,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,11.0,51.116275787353516,249.40679550170898,0
112,MREQ-21778-001025,21778,2019-08-05,Section 4,Material,Not on List,Not on List,42,Box,37.0,1554.0,Blocks and Bricks,2019-08-16,RVP 409 - 1339625 - Bar Hill A14 Jcn 29 Westbound (B1050),BN22 - Structure BN22,1702 - Precast Concrete,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,11.0,0.0,468.61096954345703,0
113,MREQ-21778-001025,21778,2019-08-05,Section 4,Material,Not on List,Not on List,39,Roll,111.59,4352.01,Blocks and Bricks,2019-08-16,RVP 409 - 1339625 - Bar Hill A14 Jcn 29 Westbound (B1050),BN22 - Structure BN22,1702 - Precast Concrete,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,11.0,51.116275787353516,249.40679550170898,0
114,MREQ-21778-001025,21778,2019-08-05,Section 4,Material,Not on List,Not on List,1,Each,107.5,107.5,Blocks and Bricks,2019-08-16,RVP 409 - 1339625 - Bar Hill A14 Jcn 29 Westbound (B1050),BN22 - Structure BN22,1702 - Precast Concrete,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,11.0,0.0,342.1818542480469,0
115,MREQ-21778-001025,21778,2019-08-05,Section 4,Material,Not on List,Not on List,750,Each,42.96,32220.0,Blocks and Bricks,2019-08-16,RVP 409 - 1339625 - Bar Hill A14 Jcn 29 Westbound (B1050),BN22 - Structure BN22,1702 - Precast Concrete,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,11.0,0.0,342.1818542480469,0
116,MREQ-21778-001025,21778,2019-08-05,Section 4,Material,Not on List,Not on List,382,Each,24.56,9381.92,Blocks and Bricks,2019-08-16,RVP 409 - 1339625 - Bar Hill A14 Jcn 29 Westbound (B1050),BN22 - Structure BN22,1702 - Precast Concrete,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,11.0,0.0,342.1818542480469,0
117,MREQ-21778-001025,21778,2019-08-05,Section 4,Material,Not on List,Not on List,2250,Each,1.41,3172.5,Blocks and Bricks,2019-08-16,RVP 409 - 1339625 - Bar Hill A14 Jcn 29 Westbound (B1050),BN22 - Structure BN22,1702 - Precast Concrete,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,11.0,0.0,342.1818542480469,0
118,MREQ-21778-001025,21778,2019-08-05,Section 4,Material,Not on List,Not on List,2264,Each,0.17,384.88,Blocks and Bricks,2019-08-16,RVP 409 - 1339625 - Bar Hill A14 Jcn 29 Westbound (B1050),BN22 - Structure BN22,1702 - Precast Concrete,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,11.0,0.0,342.1818542480469,0
120,MREQ-21778-001025,21778,2019-08-05,Section 4,Material,Not on List,Not on List,1146,Each,0.71,813.66,Blocks and Bricks,2019-08-16,RVP 409 - 1339625 - Bar Hill A14 Jcn 29 Westbound (B1050),BN22 - Structure BN22,1702 - Precast Concrete,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,11.0,0.0,342.1818542480469,0
122,MREQ-22135-001025,22135,2019-08-12,Section 1,Material,Not on List,Not on List,1,Each,802.64,803.0,Miscellaneous,2019-08-12,Gate 1 - 1339601 - Main Compound Alconbury,PLM1 - Site Preliminaries,104 - Site Transport,Stores - Closed,Yes - Approve,Yes - Approve,Req - S1 Buyers,0.0,0.0,19779.141357421875,0
123,MREQ-22136-001025,22136,2019-08-12,Section 2,Material,Not on List,Not on List,1,Each,3924.44,3924.0,Miscellaneous,2019-08-12,Main Compound - 1339608 - Buckden Rd PE19 5UH Brampton,PLM2 - Site Preliminaries,104 - Site Transport,Stores - Closed,Yes - Approve,Yes - Approve,Req - S2 Buyers,0.0,0.0,19779.141357421875,0
128,MREQ-14554-001025,14554,2019-03-22,Section 5,Material,"PPE, Small Tools and Consumables",Trouser Cargo Polycotton En471cl1 Saturn Short Ct01-y (302023),5,Each,13.0,65.0,PPE,2019-03-27,"Main Compound, Gate 1 - 1344810 - Cambridge Rd, Milton, Cambridge, CB24 6AZ",PLM5 - Site Preliminaries,102 - Compound running costs,Operations Rejected,No - Reject,,Req - S5 Buyers,5.0,13.0,13.0,0
129,MREQ-14554-001025,14554,2019-03-22,Section 5,Material,"PPE, Small Tools and Consumables",Trouser Cargo Polycotton En471cl1 Saturn Short Ct01-y (302023),10,Each,13.0,130.0,PPE,2019-03-27,"Main Compound, Gate 1 - 1344810 - Cambridge Rd, Milton, Cambridge, CB24 6AZ",PLM5 - Site Preliminaries,102 - Compound running costs,Operations Rejected,No - Reject,,Req - S5 Buyers,5.0,13.0,13.0,0
131,MREQ-14554-001025,14554,2019-03-22,Section 5,Material,"PPE, Small Tools and Consumables",Tape Measuring Pocket Spartan Pro 7.5mtr/2 (765566),5,Each,5.77,29.0,Small Tools (Consumables),2019-03-27,"Main Compound, Gate 1 - 1344810 - Cambridge Rd, Milton, Cambridge, CB24 6AZ",PLM5 - Site Preliminaries,102 - Compound running costs,Operations Rejected,No - Reject,,Req - S5 Buyers,5.0,5.769999980926514,5.769999980926514,0
132,MREQ-14554-001025,14554,2019-03-22,Section 5,Material,"PPE, Small Tools and Consumables",Tape Measuring Pocket Spartan Pro 10mtr/3 (765567),5,Each,12.4,62.0,Small Tools (Consumables),2019-03-27,"Main Compound, Gate 1 - 1344810 - Cambridge Rd, Milton, Cambridge, CB24 6AZ",PLM5 - Site Preliminaries,102 - Compound running costs,Operations Rejected,No - Reject,,Req - S5 Buyers,5.0,12.399998664855957,12.399998664855957,1
137,MREQ-14554-001025,14554,2019-03-22,Section 5,Material,"PPE, Small Tools and Consumables",Tissue Toilet Roll Pristine 2ply White 36 X 320sheets 517347 (539289),10,Each,7.32,73.0,Small Tools (Consumables),2019-03-27,"Main Compound, Gate 1 - 1344810 - Cambridge Rd, Milton, Cambridge, CB24 6AZ",PLM5 - Site Preliminaries,102 - Compound running costs,Operations Rejected,No - Reject,,Req - S5 Buyers,5.0,7.320000171661377,7.320000171661377,0
138,MREQ-5814-00499,5814,2018-08-30,Section 3,Material,Not on List,Not on List,1,Each,593.22,593.22,Surveying Consumables,2018-08-31,Gate D - 1339643 - BN10 Via Main Compound Entrance,PLM3 - Site Preliminaries,151 - Prelims attendant Labour and Equipment,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 3 Buyers,1.0,0.0,2013.2405700683594,0
