,MREQ_Number,FFID,Date_and_Time_of_Request,Section,Order_Type,Item_Category,Item_Description,Quantity_Required,Unit,Unit_Price,Total_Cost,Category,Date_Required,Delivery_Location,Location_WBS,Activity_WBS,Current_Stage,Operational_Approval,Commercial_Approval,Buyer
40,MREQ-5559-00362,5559,2018-08-23 08:47:16,Section 4,Material,Plastic Drainage,P/Pipe 225Mm Ridgidrain Dbl Skt Coupler,40,Each,3.38,135.2,Plastic Drainage,2018-08-30 00:00:00,RVP 401A - 1339583 -Swavesey South Compound A14 J28 Westbound,SC4A - Roadworks - Swavesey to Robins Lane,501 - Drains,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers
41,MREQ-21877-001025,21877,2019-08-06 15:54:45,Section 5,Material,"PPE, Small Tools and Consumables",Not on List,100,Each,,0,Small Tools (Consumables),2019-08-02 00:00:00,"1358003 - Main Compound, Gate 1 - 1344810 - Cambridge Rd, Milton, Cambridge, CB24 6AZ",PLM5 - Site Preliminaries,102 - Compound running costs,Request - Ops Pass Back,No - Pass Back,,Req - S5 Buyers
42,MREQ-21878-001025,21878,2019-08-06 16:23:42,Section 5,Material,"PPE, Small Tools and Consumables",Not on List,100,Each,,0,PPE,2019-08-09 00:00:00,"1358003 - Main Compound, Gate 1 - 1344810 - Cambridge Rd, Milton, Cambridge, CB24 6AZ",PLM5 - Site Preliminaries,102 - Compound running costs,Stores - Closed,Yes - Approve,Yes - Approve,Req - S5 Buyers
43,MREQ-21860-001025,21860,2019-08-06 13:27:16,Section 3,Material,Aggregate,Type 1,7500,Tonnes,21.65,162375,Aggregate,2019-08-06 00:00:00,Gate C - 1339697 - Access to BN06-07-08-09 Via Logistics Yard,SC3B - Roadworks,701 - Sub-base,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 3 Buyers
44,MREQ-21334-001025,21334,2019-07-25 11:49:33,Section 3,Material,Not on List,Not on List,55,m,10.9,599.5,Miscellaneous,2019-07-29 00:00:00,Gate D - 1339643 - BN10 Via Main Compound Entrance,SC3A - Roadworks,502 - Chambers & Gullies,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 3 Buyers
45,MREQ-21334-001025,21334,2019-07-25 11:49:33,Section 3,Material,Not on List,Not on List,95,No.,2.16,205.2,Fixings and Fasteners,2019-07-29 00:00:00,Gate D - 1339643 - BN10 Via Main Compound Entrance,SC3A - Roadworks,502 - Chambers & Gullies,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 3 Buyers
46,MREQ-5559-00362,5559,2018-08-23 08:47:16,Section 4,Material,Plastic Drainage,P/Pipe 225Mm Ridgidrain Seal,100,Each,1.86,186,Plastic Drainage,2018-08-30 00:00:00,RVP 401A - 1339583 -Swavesey South Compound A14 J28 Westbound,SC4A - Roadworks - Swavesey to Robins Lane,501 - Drains,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers
47,MREQ-21929-001025,21929,2019-08-07 09:23:17,Section 5,Material,"PPE, Small Tools and Consumables",Not on List,2,,,0,Small Tools (Consumables),2019-08-12 00:00:00,"1358003 - Main Compound, Gate 1 - 1344810 - Cambridge Rd, Milton, Cambridge, CB24 6AZ",BE25 - Impington Guided Busway Bridge Modifications,1704 - Reinforcement for Structures,Stores - Closed,Yes - Approve,Yes - Approve,Req - S5 Buyers
48,MREQ-21823-001025,21823,2019-08-06 07:34:24,Section 5,Material,Not on List,Not on List,1,SM,2471.04,2471.04,Miscellaneous,2019-08-08 00:00:00,"1358003 - Main Compound, Gate 1 - 1344810 - Cambridge Rd, Milton, Cambridge, CB24 6AZ",SEC5 - Roadworks,"1101 - Kerbs, Channels and Edgings",Buyer - Closed,Yes - Approve,Yes - Approve,Req - S5 Buyers
49,MREQ-21931-001025,21931,2019-08-07 10:00:15,Section 3,Material,Not on List,Not on List,1,,,0,Miscellaneous,2019-08-08 00:00:00,Main Compound Gate D - 1339642 - Main Compound Entrance A1198,PLM3 - Site Preliminaries,152 - Attendant / General Plant,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 3 Buyers
50,MREQ-21840-001025,21840,2019-08-06 11:33:28,Section 4,Material,Not on List,Not on List,144,Pack Water,6.29,905.76,Miscellaneous,2019-08-06 00:00:00,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound,PLM4 - Site Preliminaries,102 - Compound running costs,Stores - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers
51,MREQ-21654-001025,21654,2019-08-01 07:55:42,Section 4,Material,"PPE, Small Tools and Consumables",Not on List,144,,6.29,905.76,Small Tools (Consumables),2019-08-05 00:00:00,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound,PLM4 - Site Preliminaries,102 - Compound running costs,Stores - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers
52,MREQ-21653-001025,21653,2019-08-01 07:36:33,Section 4,Material,"PPE, Small Tools and Consumables",Not on List,1,,905.76,905.76,Small Tools (Consumables),2019-08-05 00:00:00,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound,PLM4 - Site Preliminaries,102 - Compound running costs,Stores - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers
53,MREQ-21768-001025,21768,2019-08-05 07:31:19,Section 4,Material,Not on List,Not on List,1,Each,200.28,200.28,Miscellaneous,2019-08-07 00:00:00,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound,PLM4 - Site Preliminaries,152 - Attendant / General Plant,Stores - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers
54,MREQ-21670-001025,21670,2019-08-01 10:20:48,Section 4,Material,Waste Management,Not on List,1,,1199.88,1199.88,Waste (General),2019-09-02 00:00:00,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound,SC4C - Roadworks - Dry Drayton to Girton,605 - Disposal,Stores - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers
55,MREQ-5564-00390,5564,2018-08-23 11:30:13,Section 4,Material,,,1,Each,1200,1200,Miscellaneous,2018-10-22 00:00:00,RVP 404 - 1339622 - Robin's Lane A14 Eastbound,BN19 - Robins Lane Bridge,2302 - Sealing of gaps,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers
56,MREQ-5137-0058,5137,2018-08-15 10:54:35,Section 3,Material,Plastic Drainage,Not on List,28,No,39.7,1111.6,Plastic Drainage,2018-08-28 00:00:00,Gate C - 1339698 - BN07 (Offord Rd) via Logistics Yard Access,SC3A - Roadworks,501 - Drains,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 3 Buyers
57,MREQ-5570-00392,5570,2018-08-23 12:14:53,Section 4,Material,Not on List,Not on List,100,Each,0.94,94,Concrete Accessories,2018-08-29 00:00:00,RVP 401A - 1339583 -Swavesey South Compound A14 J28 Westbound,SC4A - Roadworks - Swavesey to Robins Lane,503 - Headwalls and Outfall Works,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers
58,MREQ-21644-001025,21644,2019-07-31 17:06:26,Section 2,Material,Ducting,Not on List,6,length,,0,Electrical,2019-08-06 00:00:00,Gate 3 - 1339618 - BN05/06 Buckden Rd Brampton PE19 5UH Brampton,SC2B - Roadworks - A14,504 - Drainage and Service Ducts in Structures,Buyer - Closed,Yes - Approve,Yes - Approve,Req - S2 Buyers
59,MREQ-21644-001025,21644,2019-07-31 17:06:26,Section 2,Material,"PPE, Small Tools and Consumables",Not on List,3,roll,,0,Small Tools (Consumables),2019-08-06 00:00:00,Gate 3 - 1339618 - BN05/06 Buckden Rd Brampton PE19 5UH Brampton,SC2B - Roadworks - A14,504 - Drainage and Service Ducts in Structures,Buyer - Closed,Yes - Approve,Yes - Approve,Req - S2 Buyers
60,MREQ-21043-001025,21043,2019-07-19 11:38:11,Core,Material,,,,,,0,,,,,,IMO Queue,Yes - Approve,Yes - Approve,REQ - Buyers
61,MREQ-21939-001025,21939,2019-08-07 12:17:27,Section 1,Material,Not on List,Not on List,10,boxes,,0,Miscellaneous,2019-08-09 00:00:00,Gate 4 - 1339605 - Woolley Road Weybridge Farm A1 North Bound Alconbury,SEC1 - Roadworks,501 - Drains,Stores - Closed,Yes - Approve,Yes - Approve,Req - S1 Buyers
62,MREQ-21947-001025,21947,2019-08-07 12:45:37,Core,Material,Not on List,Not on List,1000,,,0,Office Supplies,2019-08-08 00:00:00,Main Compound Gate D - 1339642 - Main Compound Entrance A1198 (Core),WAOC - Working Areas overhead Costs,117 - Computer & Acc Charges,Stores - Closed,Yes - Approve,Yes - Approve,REQ - Buyers
63,MREQ-5570-00392,5570,2018-08-23 12:14:53,Section 4,Material,Not on List,Not on List,100,Each,1.08,108,Concrete Accessories,2018-08-29 00:00:00,RVP 401A - 1339583 -Swavesey South Compound A14 J28 Westbound,SC4A - Roadworks - Swavesey to Robins Lane,503 - Headwalls and Outfall Works,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers
64,MREQ-21879-001025,21879,2019-08-06 16:16:41,Section 3,Material,Not on List,Not on List,15,each,718,10770,Miscellaneous,2019-08-19 00:00:00,Gate D - 1339643 - BN10 Via Main Compound Entrance,GN3A - Gantry structures,1804 - Portal Gantries,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 3 Buyers
65,MREQ-21879-001025,21879,2019-08-06 16:16:41,Section 3,Material,Not on List,Not on List,6,Each,951.7,5710.2,Miscellaneous,2019-08-19 00:00:00,Gate D - 1339643 - BN10 Via Main Compound Entrance,GN3B - Gantry structures,1804 - Portal Gantries,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 3 Buyers
66,MREQ-21949-001025,21949,2019-08-07 14:15:07,Section 5,Material,Not on List,Not on List,4,EA,39.65,158.6,Plastic Drainage,2019-08-09 00:00:00,"1358003 - Main Compound, Gate 1 - 1344810 - Cambridge Rd, Milton, Cambridge, CB24 6AZ",SEC5 - Roadworks,504 - Drainage and Service Ducts in Structures,Buyer - Closed,Yes - Approve,Yes - Approve,Req - S5 Buyers
67,MREQ-21779-001025,21779,2019-08-05 09:22:12,Section 4,Material,Not on List,Not on List,1,,407.56,407.56,Miscellaneous,2019-08-06 00:00:00,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound,PLM4 - Site Preliminaries,102 - Compound running costs,Stores - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers
68,MREQ-21873-001025,21873,2019-08-06 15:57:05,Section 4,Material,Not on List,Not on List,200,m,2.43,486,Builders Merchants (General),2019-08-09 00:00:00,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound,BN18 - Swavesey NMU Bridge,1701 - Insitu Concrete,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers
69,MREQ-21341-001025,21341,2019-07-25 12:48:26,Core,Material,,,,,,0,,,,,,IMO Queue,Yes - Approve,Yes - Approve,REQ - Buyers
70,MREQ-21772-001025,21772,2019-08-05 08:10:04,Section 4,Material,Not on List,Not on List,1,,12102,12102,Miscellaneous,2019-08-06 00:00:00,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound,PLM4 - Site Preliminaries,152 - Attendant / General Plant,Stores - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers
71,MREQ-21953-001025,21953,2019-08-07 16:07:21,Section 1,Material,Not on List,Not on List,1,,,0,Miscellaneous,2019-08-09 00:00:00,Gate 1 - 1339601 - Main Compound Alconbury,PLM1 - Site Preliminaries,152 - Attendant / General Plant,Request - Ops Pass Back,No - Pass Back,,Req - S1 Buyers
72,MREQ-21844-001025,21844,2019-08-06 11:55:43,Section 4,Material,Not on List,Not on List,1,,244.86,244.86,Miscellaneous,2019-08-07 00:00:00,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound,PLM4 - Site Preliminaries,152 - Attendant / General Plant,Stores - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers
73,MREQ-5578-00396,5578,2018-08-23 15:01:34,Section 4,Material,Not on List,Not on List,20,rolls,110.27,2205.4,Geotextiles,2018-09-07 00:00:00,RVP 427 - Girton - Accessed through A14 W/B towards A428 (on slip road),BN25 - Girton Interchange Bridge A,2302 - Sealing of gaps,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers
74,MREQ-21977-001025,21977,2019-08-08 08:23:30,Section 2,Material,Not on List,Not on List,1,EACH,3310.75,3311,Miscellaneous,2019-08-08 00:00:00,Main Compound - 1339608 - Buckden Rd PE19 5UH Brampton,PLM2 - Site Preliminaries,104 - Site Transport,Stores - Closed,Yes - Approve,Yes - Approve,Req - S2 Buyers
75,MREQ-21983-001025,21983,2019-08-08 08:55:23,Section 4,Material,"PPE, Small Tools and Consumables",Not on List,1,,827.35,827,Small Tools (Consumables),2019-08-12 00:00:00,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound,PLM4 - Site Preliminaries,102 - Compound running costs,Request - Ops Pass Back,No - Pass Back,,REQ - Section 4 Buyers
